<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.11.01	00:00:00	1.15626	1.15637	1.15551	1.15559	1719	0	6
2021.11.01	02:00:00	1.15560	1.15605	1.15514	1.15565	3224	0	1
2021.11.01	04:00:00	1.15564	1.15586	1.15501	1.15503	2007	0	1
2021.11.01	06:00:00	1.15503	1.15638	1.15460	1.15634	2147	0	1
2021.11.01	08:00:00	1.15633	1.15645	1.15473	1.15639	5970	0	50
2021.11.01	10:00:00	1.15637	1.15752	1.15597	1.15658	6390	0	50
2021.11.01	12:00:00	1.15658	1.15772	1.15647	1.15715	4235	0	50
2021.11.01	14:00:00	1.15715	1.15804	1.15692	1.15723	6674	0	50
2021.11.01	16:00:00	1.15723	1.15940	1.15655	1.15914	7293	0	50
2021.11.01	18:00:00	1.15914	1.15949	1.15861	1.15945	3720	0	50
2021.11.01	20:00:00	1.15945	1.16086	1.15942	1.16064	3385	0	1
2021.11.01	22:00:00	1.16063	1.16090	1.16004	1.16041	4575	0	1
2021.11.02	00:00:00	1.16028	1.16053	1.15973	1.15991	1579	0	6
2021.11.02	02:00:00	1.15992	1.16014	1.15951	1.15978	2292	0	1
2021.11.02	04:00:00	1.15979	1.16015	1.15959	1.15990	2409	0	1
2021.11.02	06:00:00	1.15990	1.16084	1.15987	1.16072	2904	0	1
2021.11.02	08:00:00	1.16072	1.16132	1.16002	1.16085	4398	0	50
2021.11.02	10:00:00	1.16086	1.16107	1.15860	1.15989	8202	0	50
2021.11.02	12:00:00	1.15989	1.16063	1.15904	1.16029	6335	0	50
2021.11.02	14:00:00	1.16030	1.16077	1.15890	1.15913	9111	0	50
2021.11.02	16:00:00	1.15913	1.15996	1.15779	1.15807	9497	0	50
2021.11.02	18:00:00	1.15806	1.15846	1.15753	1.15832	5233	0	50
2021.11.02	20:00:00	1.15830	1.15855	1.15770	1.15831	3014	0	1
2021.11.02	22:00:00	1.15831	1.15831	1.15747	1.15780	1352	0	1
2021.11.03	00:00:00	1.15770	1.15814	1.15757	1.15786	1279	0	8
2021.11.03	02:00:00	1.15784	1.15831	1.15747	1.15822	2141	0	1
2021.11.03	04:00:00	1.15822	1.15874	1.15796	1.15829	2160	0	1
2021.11.03	06:00:00	1.15828	1.15855	1.15802	1.15851	1567	0	1
2021.11.03	08:00:00	1.15852	1.15872	1.15786	1.15810	3561	0	50
2021.11.03	10:00:00	1.15809	1.15979	1.15785	1.15927	5937	0	50
2021.11.03	12:00:00	1.15927	1.15928	1.15791	1.15874	5643	0	1
2021.11.03	14:00:00	1.15875	1.15896	1.15681	1.15711	8562	0	1
2021.11.03	16:00:00	1.15710	1.15859	1.15621	1.15847	9501	0	1
2021.11.03	18:00:00	1.15846	1.15870	1.15776	1.15827	4218	0	1
2021.11.03	20:00:00	1.15830	1.16161	1.15717	1.16070	22058	0	1
2021.11.03	22:00:00	1.16071	1.16153	1.16042	1.16131	2902	0	1
2021.11.04	00:00:00	1.16110	1.16162	1.16092	1.16152	1859	0	6
2021.11.04	02:00:00	1.16156	1.16162	1.16030	1.16036	3095	0	1
2021.11.04	04:00:00	1.16037	1.16068	1.15928	1.15933	2364	0	1
2021.11.04	06:00:00	1.15933	1.15959	1.15854	1.15889	2405	0	1
2021.11.04	08:00:00	1.15886	1.15886	1.15700	1.15712	4563	0	1
2021.11.04	10:00:00	1.15715	1.15720	1.15474	1.15529	7948	0	1
2021.11.04	12:00:00	1.15528	1.15540	1.15427	1.15540	5831	0	1
2021.11.04	14:00:00	1.15539	1.15731	1.15447	1.15535	12310	0	1
2021.11.04	16:00:00	1.15534	1.15567	1.15284	1.15453	11521	0	50
