Gmt time,Open,High,Low,Close,Volume
11.09.2019 00:00:00.000,1.10501,1.10555,1.09851,1.10135,127663.9688
12.09.2019 00:00:00.000,1.10134,1.10871,1.09268,1.10561,201762.5781
13.09.2019 00:00:00.000,1.10560,1.11094,1.10560,1.10707,159524.4688
15.09.2019 00:00:00.000,1.10732,1.10863,1.10695,1.10831,5486.165
16.09.2019 00:00:00.000,1.10831,1.10843,1.09932,1.10031,142926.3281
17.09.2019 00:00:00.000,1.10030,1.10755,1.09901,1.10736,170443.1406
18.09.2019 00:00:00.000,1.10737,1.10746,1.10136,1.10291,157398.9375
19.09.2019 00:00:00.000,1.10291,1.10735,1.10229,1.10446,198730.75
20.09.2019 00:00:00.000,1.10444,1.10676,1.09961,1.10169,173532.125
22.09.2019 00:00:00.000,1.10136,1.10197,1.10106,1.10185,4660.1001
23.09.2019 00:00:00.000,1.10185,1.10253,1.09661,1.09939,178417.3594
24.09.2019 00:00:00.000,1.09938,1.10240,1.09837,1.10135,183286.2656
25.09.2019 00:00:00.000,1.10134,1.10168,1.09374,1.09511,196617.375
26.09.2019 00:00:00.000,1.09511,1.09672,1.09087,1.09222,191177.0313
27.09.2019 00:00:00.000,1.09223,1.09586,1.09046,1.09367,176770.0625
29.09.2019 00:00:00.000,1.09419,1.09461,1.09391,1.09422,3943.52
30.09.2019 00:00:00.000,1.09421,1.09478,1.08847,1.08993,175540.0313
01.10.2019 00:00:00.000,1.08992,1.09428,1.08790,1.09339,214512.2656
02.10.2019 00:00:00.000,1.09340,1.09636,1.09040,1.09605,200581.125
03.10.2019 00:00:00.000,1.09604,1.09992,1.09408,1.09744,219926.4063
04.10.2019 00:00:00.000,1.09745,1.09990,1.09570,1.09760,184196.8594
06.10.2019 00:00:00.000,1.09803,1.09838,1.09728,1.09832,4584.7002
07.10.2019 00:00:00.000,1.09832,1.10004,1.09619,1.09715,167536.2031
08.10.2019 00:00:00.000,1.09716,1.09958,1.09409,1.09597,217155.5313
09.10.2019 00:00:00.000,1.09597,1.09900,1.09548,1.09842,185453.0625
10.10.2019 00:00:00.000,1.09841,1.10337,1.09797,1.10106,230081.5313
11.10.2019 00:00:00.000,1.10105,1.10626,1.10007,1.10329,245439.875
13.10.2019 00:00:00.000,1.10316,1.10385,1.10250,1.10282,6677.9502
14.10.2019 00:00:00.000,1.10281,1.10426,1.10128,1.10259,155436.6719
15.10.2019 00:00:00.000,1.10258,1.10459,1.09912,1.10344,223298.5625
16.10.2019 00:00:00.000,1.10344,1.10855,1.10223,1.10737,232685.875
17.10.2019 00:00:00.000,1.10738,1.11398,1.10650,1.11244,223617.125
18.10.2019 00:00:00.000,1.11245,1.11719,1.11145,1.11703,140632.0625
20.10.2019 00:00:00.000,1.11607,1.11634,1.11494,1.11558,6303.585
21.10.2019 00:00:00.000,1.11559,1.11793,1.11386,1.11515,124245.3672
22.10.2019 00:00:00.000,1.11517,1.11568,1.11176,1.11289,125243.1875
23.10.2019 00:00:00.000,1.11288,1.11405,1.11061,1.11322,112972.5625
24.10.2019 00:00:00.000,1.11322,1.11627,1.10930,1.11034,149011.5625
25.10.2019 00:00:00.000,1.11035,1.11229,1.10729,1.10790,100730.7109
27.10.2019 00:00:00.000,1.10800,1.10840,1.10774,1.10839,3105.3401
