Local time,Open,High,Low,Close,Volume
29.01.2015 21:30:00.000 GMT+0530,1.13368,1.13404,1.12787,1.13130,34690.3798
30.01.2015 01:30:00.000 GMT+0530,1.13130,1.13372,1.13072,1.13337,11817.9401
30.01.2015 05:30:00.000 GMT+0530,1.13338,1.13376,1.13193,1.13263,11092.4399
30.01.2015 09:30:00.000 GMT+0530,1.13265,1.13446,1.13207,1.13365,17365.4199
30.01.2015 13:30:00.000 GMT+0530,1.13362,1.13635,1.13042,1.13364,42567.289000000004
30.01.2015 17:30:00.000 GMT+0530,1.13366,1.13490,1.12809,1.12841,55419.4102
30.01.2015 21:30:00.000 GMT+0530,1.12840,1.13065,1.12790,1.12916,34119.1098
31.01.2015 01:30:00.000 GMT+0530,1.12915,1.13157,1.12783,1.12850,9698.42
02.02.2015 01:30:00.000 GMT+0530,1.13112,1.13192,1.13005,1.13070,5791.969999999999
02.02.2015 05:30:00.000 GMT+0530,1.13070,1.13255,1.13015,1.13102,10625.9199
02.02.2015 09:30:00.000 GMT+0530,1.13101,1.13214,1.12922,1.13160,15926.8103
02.02.2015 13:30:00.000 GMT+0530,1.13159,1.13546,1.13067,1.13285,42669.2003
02.02.2015 17:30:00.000 GMT+0530,1.13285,1.13621,1.13025,1.13420,44080.0904
02.02.2015 21:30:00.000 GMT+0530,1.13420,1.13551,1.13240,1.13455,24973.6997
03.02.2015 01:30:00.000 GMT+0530,1.13455,1.13487,1.13335,1.13387,11552.3401
03.02.2015 05:30:00.000 GMT+0530,1.13386,1.13511,1.13281,1.13303,14036.400099999999
03.02.2015 09:30:00.000 GMT+0530,1.13304,1.13475,1.13220,1.13316,17978.6696
03.02.2015 13:30:00.000 GMT+0530,1.13316,1.13547,1.13124,1.13387,34563.90089999999
03.02.2015 17:30:00.000 GMT+0530,1.13387,1.14498,1.13376,1.14483,56969.2397
03.02.2015 21:30:00.000 GMT+0530,1.14483,1.15338,1.14444,1.14877,53874.048800000004
04.02.2015 01:30:00.000 GMT+0530,1.14881,1.14917,1.14557,1.14565,15204.429699999999
04.02.2015 05:30:00.000 GMT+0530,1.14564,1.14755,1.14550,1.14628,15700.780299999999
04.02.2015 09:30:00.000 GMT+0530,1.14627,1.14848,1.14590,1.14661,17797.7603
04.02.2015 13:30:00.000 GMT+0530,1.14662,1.14767,1.14356,1.14577,41064.9902
04.02.2015 17:30:00.000 GMT+0530,1.14577,1.14625,1.13994,1.14241,44434.8794
04.02.2015 21:30:00.000 GMT+0530,1.14241,1.14333,1.14012,1.14181,21956.9499
05.02.2015 01:30:00.000 GMT+0530,1.14183,1.14470,1.13039,1.13165,29839.889400000004
05.02.2015 05:30:00.000 GMT+0530,1.13165,1.13622,1.13159,1.13574,18820.760499999997
05.02.2015 09:30:00.000 GMT+0530,1.13574,1.13966,1.13316,1.13802,18799.6299
05.02.2015 13:30:00.000 GMT+0530,1.13803,1.14560,1.13617,1.14250,38063.6905
05.02.2015 17:30:00.000 GMT+0530,1.14250,1.14529,1.13913,1.14281,44457.339400000004
05.02.2015 21:30:00.000 GMT+0530,1.14279,1.14988,1.14192,1.14741,28926.960499999997
06.02.2015 01:30:00.000 GMT+0530,1.14741,1.14876,1.14676,1.14705,10280.44
06.02.2015 05:30:00.000 GMT+0530,1.14705,1.14724,1.14610,1.14677,9382.2102
06.02.2015 09:30:00.000 GMT+0530,1.14676,1.14735,1.14474,1.14483,11124.7399
06.02.2015 13:30:00.000 GMT+0530,1.14485,1.14694,1.14310,1.14424,27403.610399999998
06.02.2015 17:30:00.000 GMT+0530,1.14422,1.14666,1.13160,1.13442,58563.850699999995
